task_id_list	courier_id	total_score	willingness
T0000	C001	44.679	0.3495
T0000	C004	79.532	0.6501
T0000	C011	64.991	0.4834
T0000	C016	78.567	0.4608
T0000	C024	40.385	0.3817
T0000	C025	37.849	0.8387
T0000	C035	36.289	0.7264
T0000	C038	55.668	0.2943
T0000	C039	59.442	0.7391
T0000	C040	88.384	0.3265
T0000	C042	48.305	0.1718
T0000	C045	58.272	0.7244
T0000	C046	82.699	0.2028
T0000	C047	38.480	0.3786
T0000	C049	52.687	0.1596
T0000,T0001	C001	40.114	0.3326
T0000,T0001	C004	33.745	0.6362
T0000,T0001	C010	33.884	0.4317
T0000,T0001	C028	33.225	0.5159
T0000,T0001	C040	34.582	0.2006
T0000,T0001	C045	35.969	0.6972
T0000,T0001	C048	36.232	0.1469
T0000,T0001,T0002	C007	51.210	0.1435
T0000,T0001,T0002	C016	71.184	0.4308
T0000,T0001,T0002	C019	62.984	0.7580
T0000,T0001,T0002	C028	52.478	0.1621
T0000,T0001,T0002	C045	56.043	0.8188
T0000,T0001,T0002	C048	75.322	0.6015
T0001	C000	56.822	0.6883
T0001	C001	29.669	0.6473
T0001	C002	38.388	0.5572
T0001	C003	45.937	0.4350
T0001	C012	56.785	0.1630
T0001	C019	36.947	0.4816
T0001	C025	25.353	0.4452
T0001	C035	56.716	0.7667
T0001	C045	52.197	0.2364
T0001	C047	49.285	0.8012
T0001,T0002	C002	30.505	0.2316
T0001,T0002	C005	40.611	0.2010
T0001,T0002	C011	32.876	0.4153
T0001,T0002	C014	32.409	0.6481
T0001,T0002	C017	44.520	0.3770
T0001,T0002	C023	44.529	0.7924
T0001,T0002	C026	39.810	0.5151
T0001,T0002	C035	38.312	0.1190
T0001,T0002	C038	34.064	0.6717
T0001,T0002	C047	45.645	0.4541
T0002	C000	57.672	0.8066
T0002	C005	47.925	0.4896
T0002	C006	70.037	0.1311
T0002	C007	45.367	0.3298
T0002	C013	46.659	0.1378
T0002	C019	52.109	0.2329
T0002	C023	46.841	0.2630
T0002	C026	49.028	0.1878
T0002	C029	55.299	0.4240
T0002	C031	47.170	0.4956
T0002	C037	35.127	0.7435
T0002	C043	38.415	0.6495
T0002	C047	67.285	0.7791
T0002,T0003	C009	52.482	0.6643
T0002,T0003	C012	48.950	0.1449
T0002,T0003	C015	53.119	0.2066
T0002,T0003	C021	41.190	0.7054
T0002,T0003	C027	40.557	0.7922
T0002,T0003	C033	50.893	0.3021
T0002,T0003	C036	34.340	0.3830
T0002,T0003	C045	48.365	0.1554
T0002,T0003	C048	39.958	0.7368
T0003	C004	46.185	0.4299
T0003	C005	49.074	0.1929
T0003	C010	33.654	0.2601
T0003	C011	51.319	0.3133
T0003	C012	81.484	0.4704
T0003	C014	52.395	0.1682
T0003	C030	72.752	0.4668
T0003	C034	41.900	0.2946
T0003	C035	70.659	0.8244
T0003	C039	34.486	0.5652
T0003	C044	39.336	0.2220
T0003,T0004	C016	39.074	0.1943
T0003,T0004	C019	53.307	0.6256
T0003,T0004	C022	31.697	0.7079
T0003,T0004	C025	39.658	0.3513
T0003,T0004	C028	34.010	0.8443
T0003,T0004	C034	31.076	0.1460
T0003,T0004	C043	51.825	0.7719
T0003,T0004	C049	43.682	0.7584
T0003,T0004,T0005	C016	65.963	0.4242
T0003,T0004,T0005	C019	73.867	0.6246
T0003,T0004,T0005	C022	64.616	0.3373
T0003,T0004,T0005	C031	58.959	0.4974
T0004	C004	80.737	0.2330
T0004	C005	67.118	0.6804
T0004	C010	73.464	0.7774
