task_id_list	courier_id	total_score	willingness
T0000	C000	33.563	0.2322
T0000	C009	50.991	0.3826
T0000	C013	56.067	0.8227
T0000	C014	42.482	0.6337
T0000	C016	63.255	0.3817
T0000	C017	71.449	0.4695
T0000	C024	48.222	0.3161
T0000	C028	54.268	0.0464
T0000	C029	55.254	0.8899
T0000	C030	53.544	0.6177
T0000	C031	45.669	0.5693
T0000	C032	59.087	0.1159
T0000	C038	68.537	0.5378
T0000	C045	68.795	0.6098
T0000	C046	85.699	0.5118
T0000	C047	37.658	0.7976
T0000	C049	51.185	0.4685
T0000	C051	77.737	0.7124
T0000	C052	85.047	0.5713
T0000	C055	56.357	0.2029
T0000,T0001	C003	60.781	0.2923
T0000,T0001	C006	52.145	0.3208
T0000,T0001	C015	53.141	0.2194
T0000,T0001	C045	79.193	0.6111
T0000,T0001	C048	59.165	0.2417
T0000,T0001,T0002	C000	94.973	0.3748
T0000,T0001,T0002	C003	79.021	0.4025
T0000,T0001,T0002	C006	83.902	0.1435
T0000,T0001,T0002	C045	80.356	0.5014
T0000,T0001,T0002	C048	74.515	0.4760
T0000,T0001,T0002	C057	100.000	0.9435
T0001	C001	61.490	0.5636
T0001	C006	38.097	0.9350
T0001	C007	53.185	0.3445
T0001	C009	46.168	0.1999
T0001	C012	51.372	0.3167
T0001	C016	69.504	0.7028
T0001	C018	50.559	0.5355
T0001	C023	76.409	0.8899
T0001	C024	49.144	0.3599
T0001	C025	52.361	0.2060
T0001	C027	47.587	0.2538
T0001	C028	63.033	0.1811
T0001	C034	54.628	0.2475
T0001	C041	34.515	0.3716
T0001	C044	64.385	0.4446
T0001	C046	62.450	0.3165
T0001	C050	66.949	0.6366
T0001	C051	71.193	0.4228
T0001	C052	58.851	0.6067
T0001	C056	57.685	0.0407
T0001	C058	69.411	0.2769
T0001,T0002	C004	50.107	0.4790
T0001,T0002	C025	53.051	0.2732
T0001,T0002	C052	62.195	0.2916
T0001,T0002	C055	68.541	0.3265
T0001,T0002	C058	52.236	0.3203
T0002	C010	50.252	0.5857
T0002	C012	40.124	0.3046
T0002	C013	51.559	0.2898
T0002	C016	40.886	0.5794
T0002	C018	72.878	0.1252
T0002	C019	43.707	0.6027
T0002	C024	67.719	0.0712
T0002	C029	82.037	0.0443
T0002	C030	68.522	0.5499
T0002	C033	31.264	0.4048
T0002	C039	44.131	0.2241
T0002	C040	38.742	0.2237
T0002	C042	60.352	0.2235
T0002	C044	39.993	0.7983
T0002	C055	47.799	0.8960
T0002	C056	40.365	0.2848
T0002	C057	42.264	0.2657
T0002	C059	68.592	0.6243
T0002,T0003	C002	44.240	0.5466
T0002,T0003	C008	69.079	0.3606
T0002,T0003	C059	37.443	0.4240
T0003	C000	93.799	0.3263
T0003	C001	76.314	0.8199
T0003	C002	54.179	0.9417
T0003	C007	71.279	0.3922
T0003	C011	39.159	0.5818
T0003	C013	81.752	0.6373
T0003	C017	55.856	0.3013
T0003	C023	43.344	0.7583
T0003	C024	87.773	0.0610
T0003	C027	37.647	0.4094
T0003	C029	69.598	0.4888
T0003	C033	48.707	0.3789
T0003	C043	54.336	0.3186
T0003	C044	64.167	0.5352
T0003	C050	59.257	0.8080
T0003	C054	65.649	0.6588
T0003	C057	32.208	0.4350
T0003	C059	63.498	0.5112
T0003,T0004	C006	68.518	0.1902
T0003,T0004	C009	69.801	0.8666
T0003,T0004	C015	67.006	0.4995
T0003,T0004	C018	56.244	0.6246
T0003,T0004	C021	50.662	0.2351
T0003,T0004	C024	46.730	0.0664
T0003,T0004	C033	45.038	0.0465
T0003,T0004,T0005	C006	100.000	0.1195
T0003,T0004,T0005	C009	89.699	0.2262
T0003,T0004,T0005	C033	100.000	0.4365
T0004	C000	37.651	0.6542
T0004	C001	40.908	0.2633
T0004	C005	84.046	0.5358
T0004	C006	32.013	0.2099
T0004	C007	50.703	0.7964
T0004	C010	56.487	0.5341
T0004	C011	86.762	0.2567
T0004	C012	37.552	0.8374
T0004	C017	59.099	0.6611
T0004	C020	72.602	0.4413
T0004	C023	88.123	0.8637
T0004	C029	48.405	0.1975
T0004	C036	38.244	0.4300
T0004	C038	48.974	0.2341
T0004	C039	71.620	0.9371
T0004	C040	74.315	0.0978
T0004	C041	45.910	0.2596
T0004	C044	73.369	0.2453
T0004	C049	67.279	0.4254
T0004	C050	76.406	0.5170
T0004	C051	89.320	0.4318
T0004	C056	59.149	0.9493
T0004	C059	33.847	0.5157
T0004,T0005	C013	65.368	0.5737
T0004,T0005	C016	67.165	0.4144
T0004,T0005	C031	63.403	0.6843
T0004,T0005	C034	77.554	0.2722
T0004,T0005	C043	57.659	0.5330
T0004,T0005	C046	90.667	0.4428
T0004,T0005	C049	61.200	0.5616
T0005	C010	66.901	0.3805
T0005	C011	68.969	0.6010
T0005	C012	50.433	0.3843
T0005	C013	53.069	0.3571
T0005	C018	56.221	0.7527
T0005	C019	29.954	0.8783
T0005	C022	71.522	0.6793
T0005	C023	60.602	0.2232
T0005	C024	53.862	0.7322
T0005	C025	42.746	0.1914
T0005	C027	66.471	0.8973
T0005	C028	72.820	0.6585
T0005	C030	19.273	0.5291
T0005	C033	55.005	0.4723
T0005	C046	69.611	0.0406
T0005	C050	63.595	0.9169
T0005	C054	35.182	0.4226
T0005	C058	50.246	0.7430
T0005,T0006	C020	61.507	0.4162
T0005,T0006	C023	68.228	0.9070
T0005,T0006	C029	58.088	0.4884
T0005,T0006	C032	38.024	0.1674
T0005,T0006	C041	46.418	0.7630
T0005,T0006	C056	70.993	0.2172
T0006	C003	55.307	0.4744
T0006	C004	37.642	0.2467
T0006	C007	47.155	0.9467
T0006	C009	49.300	0.2096
T0006	C012	54.374	0.2303
T0006	C013	58.031	0.6333
T0006	C015	28.279	0.8940
T0006	C016	56.489	0.9415
T0006	C017	70.916	0.8760
T0006	C019	51.459	0.7542
T0006	C024	71.052	0.2027
T0006	C029	57.788	0.4893
T0006	C035	61.704	0.1648
T0006	C040	54.686	0.5273
T0006	C041	58.179	0.5884
T0006	C045	45.901	0.1433
T0006	C048	54.278	0.2239
T0006	C050	29.062	0.9258
T0006	C052	52.788	0.3251
T0006	C057	33.789	0.1747
T0006,T0007	C003	77.028	0.5830
T0006,T0007	C027	21.931	0.4889
T0006,T0007	C030	54.236	0.5971
T0006,T0007	C036	48.063	0.7257
T0006,T0007	C045	69.428	0.7367
T0006,T0007	C054	68.905	0.4795
T0006,T0007	C057	59.173	0.9134
T0006,T0007,T0008	C027	88.430	0.6657
T0006,T0007,T0008	C030	84.470	0.6495
T0006,T0007,T0008	C042	81.553	0.4802
T0006,T0007,T0008	C048	74.838	0.6022
T0007	C002	60.848	0.4094
T0007	C006	73.053	0.4984
T0007	C008	66.015	0.3121
T0007	C010	35.874	0.1580
T0007	C011	53.442	0.5471
T0007	C012	87.521	0.5291
T0007	C013	67.054	0.4098
T0007	C016	34.106	0.4951
T0007	C020	52.721	0.6216
T0007	C021	41.625	0.5088
T0007	C022	52.711	0.7297
T0007	C024	75.207	0.4214
T0007	C025	61.350	0.1052
T0007	C029	90.812	0.7561
T0007	C030	72.387	0.2270
T0007	C031	62.574	0.3340
T0007	C037	48.581	0.0786
T0007	C038	43.358	0.7192
T0007	C041	68.622	0.3705
T0007	C043	67.427	0.4962
T0007	C044	56.709	0.3172
T0007	C049	50.092	0.4750
T0007	C051	42.442	0.4832
T0007	C053	80.824	0.4995
T0007	C056	25.570	0.4518
T0007	C058	73.666	0.4634
T0007,T0008	C010	54.340	0.3390
T0007,T0008	C034	43.770	0.8256
T0007,T0008	C037	68.538	0.6376
T0007,T0008	C052	42.743	0.4631
T0008	C003	56.858	0.4270
T0008	C006	34.133	0.4552
T0008	C013	40.506	0.1832
T0008	C014	68.772	0.8834
T0008	C015	58.556	0.2529
T0008	C016	82.674	0.4262
T0008	C017	74.975	0.3492
T0008	C019	65.536	0.5910
T0008	C020	34.059	0.5900
T0008	C023	86.662	0.5205
T0008	C024	50.229	0.6418
T0008	C025	52.021	0.5727
T0008	C026	57.415	0.1455
T0008	C027	46.246	0.3007
T0008	C031	44.022	0.4238
T0008	C033	61.093	0.5129
T0008	C034	71.064	0.3553
T0008	C039	78.679	0.4638
T0008	C042	45.447	0.1862
T0008	C044	59.898	0.3250
T0008	C049	61.470	0.4855
T0008	C050	70.292	0.2411
T0008	C057	78.265	0.0625
T0008,T0009	C041	52.043	0.1430
T0008,T0009	C044	40.161	0.7492
T0008,T0009	C050	64.777	0.4500
T0008,T0009	C053	68.916	0.3148
T0009	C001	54.342	0.3458
T0009	C004	72.247	0.4168
T0009	C008	34.906	0.2009
T0009	C014	46.392	0.3191
T0009	C017	75.203	0.3400
T0009	C019	30.190	0.1164
T0009	C020	51.332	0.6393
T0009	C022	75.217	0.1548
T0009	C023	75.847	0.2406
T0009	C024	54.418	0.6441
T0009	C030	49.817	0.2466
T0009	C031	55.455	0.4391
T0009	C032	56.957	0.3008
T0009	C041	48.076	0.8268
T0009	C043	36.723	0.3540
T0009	C044	65.116	0.7142
T0009	C046	64.745	0.3278
T0009	C047	26.585	0.4598
T0009	C050	58.736	0.5759
T0009	C051	60.103	0.2200
T0009	C053	49.947	0.6990
T0009	C054	25.726	0.5209
T0009	C056	64.540	0.0560
T0009	C058	66.753	0.8695
T0009,T0010	C000	57.162	0.7470
T0009,T0010	C006	47.801	0.5764
T0009,T0010	C012	76.479	0.6240
T0009,T0010	C024	44.209	0.3316
T0009,T0010	C048	67.682	0.3086
T0009,T0010	C051	52.977	0.7229
T0009,T0010	C054	46.355	0.9237
T0009,T0010,T0011	C009	81.618	0.3118
T0009,T0010,T0011	C048	76.232	0.7196
T0009,T0010,T0011	C051	78.716	0.6804
T0010	C000	72.981	0.2515
T0010	C008	49.094	0.6368
T0010	C016	54.560	0.4798
T0010	C018	52.832	0.6198
T0010	C021	42.064	0.6172
T0010	C027	57.907	0.2214
T0010	C029	74.383	0.3666
T0010	C031	45.415	0.1508
T0010	C032	27.707	0.8120
T0010	C033	61.705	0.4188
T0010	C035	54.521	0.6852
T0010	C036	56.251	0.1755
T0010	C037	42.540	0.9174
T0010	C039	40.897	0.1422
T0010	C041	74.705	0.5015
T0010	C047	62.805	0.6733
T0010	C048	42.374	0.3676
T0010	C050	36.552	0.7333
T0010	C056	38.849	0.2586
T0010	C059	69.305	0.3274
T0010,T0011	C010	57.163	0.1160
T0010,T0011	C016	60.032	0.2923
T0010,T0011	C055	40.720	0.9128
T0010,T0011	C058	61.267	0.8565
T0011	C000	87.650	0.4971
T0011	C004	38.463	0.1852
T0011	C005	50.846	0.4050
T0011	C006	88.852	0.4719
T0011	C008	65.695	0.3921
T0011	C010	29.750	0.9375
T0011	C012	69.301	0.7302
