task_id_list	courier_id	total_score	willingness
T0000	C000	40.547	0.3167
T0000	C003	46.986	0.1306
T0000	C004	55.132	0.1707
T0000	C005	74.954	0.7321
T0000	C007	39.017	0.6996
T0000	C008	42.135	0.7092
T0000	C018	26.576	0.7107
T0000	C024	25.813	0.3805
T0000	C025	54.506	0.7240
T0000	C029	34.848	0.5443
T0000	C033	53.854	0.4461
T0000	C034	77.225	0.5409
T0000	C039	65.941	0.1490
T0000	C040	86.822	0.2207
T0000	C043	54.141	0.5905
T0000	C047	29.291	0.7728
T0000	C048	43.201	0.7026
T0000	C052	79.126	0.6979
T0000	C056	52.704	0.4607
T0000	C057	58.196	0.7326
T0000	C058	48.895	0.1845
T0000	C065	40.595	0.2933
T0000	C077	38.815	0.8410
T0000,T0001	C000	69.368	0.7715
T0000,T0001	C056	50.233	0.1398
T0000,T0001	C059	49.222	0.6782
T0000,T0001	C062	54.353	0.8082
T0000,T0001	C068	62.594	0.4445
T0000,T0001,T0002	C000	76.302	0.6181
T0000,T0001,T0002	C003	82.243	0.4461
T0000,T0001,T0002	C006	96.536	0.4885
T0000,T0001,T0002	C056	87.147	0.3025
T0000,T0001,T0002	C059	75.992	0.7319
T0000,T0001,T0002	C068	96.138	0.6926
T0000,T0001,T0002	C074	84.895	0.1753
T0000,T0001,T0002	C077	92.505	0.1088
T0001	C004	56.042	0.2001
T0001	C007	48.972	0.1314
T0001	C012	45.351	0.5555
T0001	C014	32.050	0.2473
T0001	C015	38.055	0.6398
T0001	C016	44.069	0.5592
T0001	C021	59.820	0.7342
T0001	C022	44.888	0.4552
T0001	C026	44.821	0.2016
T0001	C031	28.583	0.5885
T0001	C036	48.985	0.5356
T0001	C040	54.892	0.4314
T0001	C044	45.365	0.1326
T0001	C050	49.643	0.3709
T0001	C056	58.632	0.4891
T0001	C060	32.869	0.2285
T0001	C061	39.109	0.7749
T0001	C062	57.920	0.3261
T0001	C063	58.169	0.1615
T0001	C065	44.873	0.5270
T0001	C066	39.232	0.2826
T0001	C073	38.814	0.7086
T0001,T0002	C004	51.837	0.5414
T0001,T0002	C010	69.306	0.1749
T0001,T0002	C019	67.136	0.1323
T0001,T0002	C022	60.395	0.3546
T0001,T0002	C025	65.636	0.1865
T0001,T0002	C063	51.210	0.7756
T0001,T0002	C066	48.238	0.2683
T0002	C001	49.394	0.1832
T0002	C011	52.546	0.3769
T0002	C012	71.566	0.4562
T0002	C014	52.399	0.4004
T0002	C015	40.336	0.6839
T0002	C022	53.292	0.6129
T0002	C025	46.467	0.6657
T0002	C028	50.474	0.1134
T0002	C038	31.023	0.1201
T0002	C042	60.101	0.7685
T0002	C044	31.334	0.8407
T0002	C049	30.108	0.2734
T0002	C060	42.952	0.7426
T0002	C063	58.515	0.7723
T0002	C064	70.409	0.8298
T0002	C066	49.702	0.3654
T0002	C067	47.768	0.1378
T0002	C068	50.660	0.4342
T0002	C074	46.849	0.7653
T0002	C077	43.198	0.5526
T0002	C079	47.147	0.2005
T0002,T0003	C008	51.935	0.8338
T0002,T0003	C017	53.361	0.2725
T0002,T0003	C070	47.752	0.6953
T0002,T0003	C073	58.229	0.6993
T0002,T0003	C076	64.394	0.5452
T0003	C001	69.583	0.2907
T0003	C009	45.368	0.1339
T0003	C016	34.226	0.7415
T0003	C024	66.047	0.5397
T0003	C026	44.169	0.3411
T0003	C032	60.533	0.6172
T0003	C033	43.694	0.2848
T0003	C039	45.506	0.5437
T0003	C040	29.535	0.4617
T0003	C043	58.334	0.8303
T0003	C044	59.484	0.3052
T0003	C052	45.268	0.4581
T0003	C062	49.803	0.3331
T0003	C063	31.538	0.4070
T0003	C068	52.447	0.3965
T0003	C071	54.569	0.5805
T0003	C072	45.688	0.5072
T0003	C073	58.414	0.2637
T0003	C077	62.088	0.2684
