task_id_list	courier_id	total_score	willingness
T0000	C003	66.560	0.0489
T0000	C004	64.516	0.1063
T0000	C005	66.715	0.2065
T0000	C020	55.833	0.1621
T0000	C023	69.596	0.1289
T0000	C024	45.083	0.1098
T0000	C029	50.795	0.1702
T0000	C030	45.807	0.1464
T0000	C031	36.479	0.1709
T0000	C032	56.550	0.0578
T0000	C035	51.377	0.1004
T0000	C045	56.114	0.2394
T0000	C050	52.113	0.1051
T0000	C054	54.418	0.1543
T0000	C058	39.911	0.1381
T0000,T0001	C030	46.369	0.2502
T0000,T0001	C033	47.724	0.1394
T0000,T0001	C045	67.217	0.0957
T0001	C002	24.144	0.2252
T0001	C006	50.583	0.1938
T0001	C008	38.073	0.1452
T0001	C014	40.278	0.1420
T0001	C016	50.230	0.1126
T0001	C029	41.732	0.1618
T0001	C031	37.909	0.2325
T0001	C034	56.642	0.0532
T0001	C035	62.654	0.1496
T0001	C036	46.718	0.1111
T0001	C037	43.388	0.1318
T0001	C040	74.126	0.1056
T0001	C043	34.371	0.1600
T0001	C049	44.761	0.0543
T0001	C051	68.291	0.1168
T0001	C054	37.383	0.0909
T0001	C055	47.231	0.0852
T0001	C057	46.840	0.1014
T0001,T0002	C037	58.191	0.0650
T0001,T0002	C040	65.705	0.1221
T0001,T0002	C043	53.486	0.0829
T0001,T0002	C046	47.412	0.1235
T0002	C002	56.133	0.1939
T0002	C010	41.383	0.2258
T0002	C013	53.345	0.0726
T0002	C014	39.168	0.0807
T0002	C016	40.939	0.1042
T0002	C018	48.989	0.2142
T0002	C022	35.386	0.0768
T0002	C023	52.740	0.2393
T0002	C028	50.834	0.0776
T0002	C030	52.151	0.0648
T0002	C031	48.532	0.0741
T0002	C037	41.492	0.1471
T0002	C040	44.989	0.1370
T0002	C041	47.657	0.1170
T0002	C042	45.509	0.0910
T0002	C043	53.835	0.0649
T0002	C047	51.920	0.2243
T0002	C048	42.177	0.1294
T0002	C049	45.683	0.1562
T0002	C052	66.141	0.2139
T0002	C053	44.729	0.2302
T0002	C054	59.685	0.0489
T0002	C055	50.166	0.2198
T0002	C057	38.844	0.0449
T0002,T0003	C011	45.302	0.1236
T0002,T0003	C014	69.418	0.1379
T0002,T0003	C044	58.068	0.1642
T0002,T0003	C047	50.770	0.1214
T0002,T0003	C056	45.978	0.1641
T0003	C000	76.749	0.1499
T0003	C005	30.619	0.0414
T0003	C008	62.271	0.1334
T0003	C009	38.172	0.0979
T0003	C011	48.215	0.1092
T0003	C012	69.649	0.2192
T0003	C013	62.338	0.0746
T0003	C014	68.230	0.0483
T0003	C016	29.714	0.2323
T0003	C022	44.823	0.1148
T0003	C023	44.277	0.2386
T0003	C028	27.522	0.0944
T0003	C029	70.821	0.0401
T0003	C030	75.778	0.0769
T0003	C034	42.256	0.2093
T0003	C035	69.929	0.0545
T0003	C039	46.162	0.1529
T0003	C040	49.530	0.0717
T0003	C042	74.325	0.1431
T0003	C044	50.934	0.1537
T0003	C045	39.956	0.2347
T0003	C046	35.642	0.1783
T0003	C047	68.263	0.1765
T0003	C049	48.539	0.0472
T0003	C057	41.999	0.1520
T0003,T0004	C000	54.003	0.1485
T0003,T0004	C006	51.328	0.2055
T0003,T0004	C015	59.131	0.1397
T0003,T0004	C051	57.154	0.2326
T0003,T0004	C054	53.643	0.1666
T0004	C002	49.890	0.0519
T0004	C004	69.099	0.0742
T0004	C005	71.966	0.2025
