task_id_list	courier_id	total_score	willingness
T0000	C001	41.679	0.3495
T0000	C004	76.532	0.6501
T0000	C011	61.991	0.4834
T0000	C016	75.567	0.4608
T0000	C018	39.182	0.4928
T0000	C022	69.685	0.3817
T0000	C023	67.149	0.8387
T0000	C031	52.422	0.2410
T0000	C036	35.668	0.2943
T0000	C037	39.442	0.7391
T0000	C038	68.384	0.3265
T0000	C040	77.605	0.1718
T0000	C041	40.908	0.7083
T0000	C042	39.487	0.1596
T0000	C043	56.274	0.7006
T0000	C045	55.272	0.7244
T0000	C046	79.699	0.2028
T0000	C047	35.480	0.3786
T0000,T0001	C010	59.517	0.7568
T0000,T0001	C013	47.409	0.6654
T0000,T0001	C019	48.612	0.4213
T0000,T0001	C022	56.120	0.2471
T0000,T0001	C045	51.874	0.1897
T0000,T0001	C048	52.202	0.5665
T0001	C000	50.615	0.5103
T0001	C001	33.012	0.6318
T0001	C002	46.386	0.3990
T0001	C008	47.885	0.1630
T0001	C011	64.937	0.5043
T0001	C013	41.647	0.4816
T0001	C019	30.053	0.4452
T0001	C029	61.416	0.7667
T0001	C031	46.990	0.7296
T0001	C037	36.497	0.2364
T0001	C039	59.085	0.8012
T0001	C042	35.068	0.7876
T0001	C043	40.725	0.4896
T0001	C044	43.672	0.8066
T0001	C045	54.769	0.8303
T0001	C049	46.037	0.5142
T0001,T0002	C002	68.811	0.2495
T0001,T0002	C005	51.096	0.3586
T0001,T0002	C008	63.094	0.6219
T0001,T0002	C020	59.329	0.8003
T0002	C002	51.709	0.2329
T0002	C004	38.044	0.1662
T0002	C005	58.817	0.5828
T0002	C006	50.512	0.5084
T0002	C007	44.729	0.4075
T0002	C009	46.361	0.3998
T0002	C010	53.728	0.1878
T0002	C013	46.399	0.4240
T0002	C015	38.270	0.4956
T0002	C021	29.627	0.7435
T0002	C027	36.315	0.6495
T0002	C031	58.385	0.7791
T0002	C034	41.150	0.7611
T0002	C035	68.284	0.4704
T0002	C040	51.685	0.4299
T0002	C041	69.874	0.1929
T0002	C044	34.408	0.3586
T0002	C045	37.495	0.1682
T0002	C046	45.449	0.5240
T0002,T0003	C009	44.246	0.4709
T0002,T0003	C012	45.067	0.1665
