task_id_list	courier_id	total_score	willingness
T0000	C000	30.930	0.1985
T0000	C001	51.132	0.1797
T0000	C002	56.689	0.1325
T0000	C005	82.743	0.4984
T0000	C007	54.302	0.2066
T0000	C008	48.443	0.6137
T0000	C009	49.604	0.7675
T0000	C010	83.309	0.3565
T0000	C012	31.707	0.4792
T0000	C013	38.638	0.7012
T0000	C014	46.769	0.4095
T0000	C016	77.580	0.7333
T0000,T0001	C008	44.678	0.5852
T0000,T0001	C011	45.431	0.1432
T0000,T0001,T0002	C008	58.889	0.8394
T0000,T0001,T0002	C011	69.777	0.6253
T0000,T0001,T0002	C014	51.744	0.6157
T0001	C001	43.627	0.7072
T0001	C007	23.411	0.2186
T0001	C013	29.235	0.7933
T0001	C014	54.948	0.2146
T0001	C015	46.697	0.1102
T0001	C016	45.946	0.5593
T0001	C017	56.555	0.2886
T0001,T0002	C000	50.605	0.2654
T0001,T0002	C006	34.845	0.8215
T0001,T0002	C009	32.649	0.7820
T0001,T0002	C012	38.539	0.7878
T0001,T0002	C015	35.106	0.2501
T0002	C000	58.104	0.1412
T0002	C001	66.358	0.1275
T0002	C002	31.710	0.4599
T0002	C003	42.952	0.4750
T0002	C004	48.312	0.5809
T0002	C005	27.657	0.5297
T0002	C006	58.070	0.7571
T0002	C009	37.484	0.7581
T0002	C012	71.551	0.3444
T0002	C014	46.221	0.5455
T0002	C015	45.933	0.6348
T0002	C016	44.605	0.2288
T0002	C017	35.667	0.8378
T0002,T0003	C001	46.812	0.8355
T0002,T0003	C004	45.358	0.6634
T0002,T0003	C007	31.825	0.6892
T0002,T0003	C010	40.397	0.1428
T0002,T0003	C013	36.966	0.6829
T0002,T0003	C016	37.428	0.1358
T0003	C002	65.245	0.5558
T0003	C003	51.911	0.2045
T0003	C004	38.132	0.2779
T0003	C005	49.100	0.5156
T0003	C006	58.703	0.4316
T0003	C007	82.672	0.4459
T0003	C008	67.286	0.5137
T0003	C011	41.268	0.4698
T0003	C012	59.788	0.7796
T0003	C013	72.376	0.7229
T0003	C017	56.412	0.6640
T0003,T0004	C002	47.161	0.8384
T0003,T0004	C011	35.398	0.7851
T0003,T0004	C014	34.645	0.7678
T0003,T0004,T0005	C005	75.149	0.1896
T0003,T0004,T0005	C011	64.539	0.7321
T0003,T0004,T0005	C014	76.141	0.3528
T0003,T0004,T0005	C017	62.895	0.5014
T0004	C001	30.765	0.4589
T0004	C002	65.272	0.2891
T0004	C003	63.390	0.6576
T0004	C005	72.088	0.4273
T0004	C009	68.759	0.8065
T0004	C010	49.617	0.4095
T0004	C011	68.132	0.4051
T0004	C012	47.742	0.5333
T0004	C013	33.869	0.6806
T0004	C014	51.465	0.5788
T0004,T0005	C000	48.161	0.1114
T0004,T0005	C003	45.973	0.5212
T0004,T0005	C012	55.873	0.4771
T0004,T0005	C015	42.870	0.7643
