task_id_list	courier_id	total_score	willingness
T0000	C000	21.690	0.5696
T0000	C001	48.863	0.7281
T0000	C002	64.532	0.6501
T0000	C003	47.880	0.3786
T0000	C004	72.799	0.2028
T0000	C005	65.372	0.7244
T0000	C008	50.354	0.5060
T0000	C010	58.491	0.4834
T0000	C011	86.377	0.7330
T0000	C013	55.067	0.4608
T0000	C015	54.982	0.4928
T0000	C017	76.001	0.1852
T0000	C019	36.747	0.1764
T0000,T0001	C002	55.555	0.4404
T0000,T0001	C003	40.457	0.5990
T0000,T0001	C006	38.831	0.3903
T0000,T0001	C012	49.265	0.1020
T0000,T0001	C015	49.284	0.6243
T0000,T0001	C021	41.472	0.6615
T0000,T0001,T0002	C003	62.358	0.3914
T0000,T0001,T0002	C006	75.409	0.6396
T0000,T0001,T0002	C018	56.575	0.5777
T0001	C000	62.522	0.2410
T0001	C001	44.214	0.4393
T0001	C003	44.068	0.2943
T0001	C004	34.842	0.7391
T0001	C005	76.784	0.3265
T0001	C007	37.305	0.1718
T0001	C008	43.543	0.4360
T0001	C009	59.049	0.4373
T0001	C010	49.833	0.7975
T0001	C011	71.408	0.7083
T0001	C012	51.287	0.1596
T0001	C013	38.074	0.7006
T0001	C017	74.337	0.4350
T0001	C020	48.467	0.4284
T0001,T0002	C010	35.875	0.6719
T0001,T0002	C013	42.064	0.5324
T0001,T0002	C016	55.367	0.7433
T0002	C001	63.137	0.5043
T0002	C003	44.947	0.4816
T0002	C007	55.357	0.1701
T0002	C008	36.169	0.6221
T0002	C010	59.149	0.5290
T0002	C013	59.775	0.8091
T0002	C014	25.857	0.7976
T0002	C015	29.183	0.4532
T0002	C018	73.216	0.7667
T0002	C020	45.790	0.7296
T0002,T0003	C013	40.662	0.5864
T0002,T0003	C016	38.816	0.2482
T0002,T0003	C017	40.792	0.2418
T0002,T0003	C020	30.003	0.7915
T0003	C000	80.370	0.1185
T0003	C003	42.073	0.3212
T0003	C004	57.637	0.1311
T0003	C007	67.372	0.8066
T0003	C008	61.469	0.8303
T0003	C010	53.204	0.3170
T0003	C013	66.559	0.1378
T0003	C018	50.884	0.4691
T0003	C019	68.622	0.5992
T0003	C020	70.306	0.6399
T0003,T0004	C002	46.945	0.5924
T0003,T0004	C005	35.495	0.2270
T0003,T0004	C008	54.375	0.4724
T0003,T0004	C014	48.611	0.5979
T0003,T0004	C017	55.368	0.3430
T0003,T0004,T0005	C002	56.236	0.2962
