task_id_list	courier_id	total_score	willingness
T0000	C000	29.690	0.5696
T0000	C001	43.863	0.7281
T0000	C002	59.532	0.6501
T0000	C005	69.154	0.5060
T0000	C007	27.991	0.4834
T0000	C008	55.877	0.7330
T0000	C010	73.867	0.4608
T0000	C012	40.882	0.4928
T0000	C014	45.501	0.1852
T0000	C016	55.547	0.1764
T0000	C020	55.899	0.2028
T0000	C021	48.472	0.7244
T0000	C022	69.480	0.3786
T0000,T0001	C020	54.533	0.5698
T0000,T0001	C023	62.569	0.6599
T0001	C000	50.649	0.2690
T0001	C001	42.194	0.5282
T0001	C002	40.522	0.2410
T0001	C003	52.214	0.4393
T0001	C005	56.068	0.2943
T0001	C006	41.142	0.7391
T0001	C007	53.084	0.3265
T0001	C009	48.705	0.1718
T0001	C010	57.908	0.7083
T0001	C011	59.887	0.1596
T0001	C012	54.574	0.7006
T0001	C016	60.837	0.4350
T0001	C019	41.767	0.4284
T0001	C023	76.785	0.1630
T0001	C024	49.464	0.2715
T0001,T0002	C002	64.783	0.6721
T0001,T0002	C005	65.669	0.5979
T0002	C003	35.057	0.1701
T0002	C004	39.069	0.6221
T0002	C005	50.147	0.4816
T0002	C006	68.411	0.2372
T0002	C007	56.437	0.5043
T0002	C009	49.049	0.5290
T0002	C014	52.916	0.7667
T0002	C015	29.166	0.8209
T0002	C022	44.997	0.2364
T0002	C024	62.485	0.8012
T0002,T0003	C009	62.021	0.3499
T0002,T0003	C012	51.207	0.1073
T0003	C002	55.572	0.8066
T0003	C003	49.669	0.8303
T0003	C004	36.903	0.7088
T0003	C005	42.637	0.5142
T0003	C006	71.759	0.1378
T0003	C010	36.008	0.4685
T0003	C011	33.067	0.3298
T0003	C012	83.237	0.1311
T0003	C015	51.709	0.2329
T0003	C017	38.044	0.1662
T0003	C018	63.352	0.7537
T0003	C019	53.943	0.8191
T0003	C020	62.987	0.7473
T0003	C021	39.599	0.4240
T0003	C023	45.070	0.4956
T0003,T0004	C006	58.746	0.5219
T0003,T0004	C009	56.795	0.1163
T0003,T0004	C016	46.359	0.6269
T0003,T0004	C019	62.302	0.2856
T0003,T0004	C022	49.427	0.6008
T0004	C001	45.416	0.4622
T0004	C004	63.515	0.6495
T0004	C005	75.960	0.4371
T0004	C006	48.185	0.7791
T0004	C009	51.350	0.7611
T0004	C010	73.384	0.4704
T0004	C015	56.335	0.6518
T0004	C016	60.768	0.2710
T0004	C017	80.584	0.5930
T0004	C018	38.085	0.4299
T0004	C019	54.574	0.1929
T0004	C021	55.969	0.4579
T0004	C022	60.935	0.3018
T0004	C023	72.524	0.2860
T0004,T0005	C001	63.320	0.6224
T0004,T0005	C013	65.616	0.6455
T0004,T0005	C023	57.593	0.8066
T0005	C003	46.675	0.6810
T0005	C004	56.152	0.4668
T0005	C006	42.488	0.2334
T0005	C008	30.655	0.2892
T0005	C010	59.147	0.3816
T0005	C011	55.286	0.5652
T0005	C014	48.178	0.1724
T0005	C015	39.830	0.6310
T0005	C016	60.178	0.4962
T0005	C018	54.412	0.1450
T0005	C020	41.068	0.8055
T0005	C021	61.379	0.8044
T0005	C022	64.931	0.3718
T0005	C023	55.193	0.5002
T0005,T0006	C005	48.484	0.3396
T0005,T0006	C008	59.834	0.7035
T0006	C000	50.106	0.8251
T0006	C001	55.666	0.8185
T0006	C002	36.810	0.1035
T0006	C003	43.822	0.4797
T0006	C007	55.164	0.7774
T0006	C008	52.791	0.6368
T0006	C012	55.131	0.6085
T0006	C013	40.769	0.4877
T0006	C015	42.317	0.1919
T0006	C018	64.976	0.2638
T0006	C019	46.639	0.7250
T0006	C020	35.946	0.8253
T0006	C024	60.826	0.4807
T0006,T0007	C002	64.295	0.2595
T0006,T0007	C012	55.670	0.4386
T0006,T0007	C015	57.449	0.6733
T0006,T0007	C018	55.011	0.3747
T0006,T0007	C021	53.117	0.8279
T0007	C001	74.882	0.8211
