task_id_list	courier_id	total_score	willingness
T0000	C000	29.690	0.5696
T0000	C001	43.863	0.7281
T0000	C002	59.532	0.6501
T0000	C005	60.372	0.7244
T0000	C006	38.880	0.3786
T0000	C007	43.999	0.2028
T0000	C008	45.354	0.5060
T0000,T0001	C004	62.385	0.8012
T0000,T0001	C005	58.422	0.5992
T0000,T0001	C008	56.797	0.2364
T0001	C000	52.293	0.3823
T0001	C001	35.628	0.1257
T0001	C002	42.277	0.7330
T0001	C004	60.267	0.4608
T0001	C006	54.482	0.4928
T0001	C008	31.901	0.1852
T0001	C009	41.964	0.1360
T0001,T0002	C001	56.369	0.8303
T0001,T0002	C002	51.968	0.7876
T0001,T0002	C005	59.325	0.4896
T0001,T0002	C007	65.104	0.3170
T0001,T0002	C008	53.772	0.8066
T0002	C000	65.743	0.4360
T0002	C001	60.922	0.2410
T0002	C002	55.614	0.4393
T0002	C004	35.668	0.2943
T0002	C005	59.781	0.7303
T0002	C006	64.880	0.5942
T0002	C007	43.349	0.8387
T0002	C008	36.042	0.7391
T0002	C009	47.984	0.3265
T0002,T0003	C002	45.312	0.5084
T0002,T0003	C009	58.359	0.2162
T0003	C000	79.305	0.1718
T0003	C001	76.444	0.1436
T0003	C002	51.569	0.5964
T0003	C004	39.487	0.1596
T0003	C005	42.674	0.7006
T0003	C008	46.612	0.6318
T0003	C009	49.824	0.8034
T0003,T0004	C001	68.928	0.1878
T0003,T0004	C002	53.141	0.2630
T0003,T0004	C006	61.809	0.2329
T0003,T0004	C009	50.691	0.4157
T0004	C000	49.585	0.1630
T0004	C001	44.364	0.2715
T0004	C002	49.615	0.6542
T0004	C003	58.647	0.4816
T0004	C004	69.100	0.5583
T0004	C005	76.875	0.8091
T0004	C006	35.085	0.6802
T0004	C007	39.165	0.5721
T0004	C008	46.957	0.1701
T0004	C009	57.769	0.6221
T0004,T0005	C003	66.441	0.2153
T0004,T0005	C006	55.233	0.6854
T0004,T0005	C009	60.270	0.4956
T0005	C000	62.649	0.5290
T0005	C001	52.384	0.3940
T0005	C002	48.430	0.7084
T0005	C004	40.951	0.7466
T0005	C006	42.766	0.8209
