task_id_list	courier_id	total_score	willingness
T0000	C001	59.057	0.3447
T0000	C002	50.717	0.5178
T0000	C003	57.125	0.4091
T0000	C008	55.687	0.3947
T0000	C010	70.589	0.0863
T0000	C012	35.763	0.3600
T0000	C014	46.524	0.1029
T0000	C016	82.573	0.3867
T0000	C017	97.632	0.4799
T0000	C019	65.898	0.6026
T0000	C022	91.533	0.2725
T0000	C023	95.960	0.7798
T0000	C026	59.043	0.4854
T0000	C029	53.429	0.2323
T0000	C036	57.600	0.2288
T0000	C042	38.316	0.2582
T0000	C043	66.202	0.5259
T0000	C045	67.134	0.5679
T0000	C054	60.609	0.4230
T0000	C056	52.809	0.2407
T0000	C058	53.779	0.5901
T0000	C059	59.495	0.7559
T0000,T0001	C001	58.515	0.3111
T0000,T0001	C004	68.722	0.5237
T0000,T0001	C007	50.590	0.4460
T0000,T0001	C016	44.091	0.4256
T0000,T0001	C025	65.803	0.3040
T0000,T0001,T0002	C001	95.060	0.5748
T0000,T0001,T0002	C004	77.123	0.5289
T0000,T0001,T0002	C007	80.243	0.6553
T0000,T0001,T0002	C013	72.400	0.5103
T0000,T0001,T0002	C025	86.715	0.2038
T0001	C005	82.306	0.3111
T0001	C006	50.872	0.2988
T0001	C007	47.228	0.2251
T0001	C008	43.466	0.3724
T0001	C010	58.397	0.2569
T0001	C012	55.762	0.3691
T0001	C021	64.046	0.4424
T0001	C024	68.389	0.0861
T0001	C025	39.776	0.6610
T0001	C028	67.781	0.1953
T0001	C031	56.190	0.7479
T0001	C040	76.551	0.2653
T0001	C044	48.975	0.1955
T0001	C051	59.767	0.5117
T0001	C052	67.769	0.2640
T0001	C055	44.650	0.4395
T0001	C057	71.480	0.5616
T0001,T0002	C008	50.057	0.3046
T0001,T0002	C011	70.196	0.2815
T0001,T0002	C032	69.110	0.4436
T0001,T0002	C041	71.021	0.3479
T0002	C002	65.194	0.5095
T0002	C004	39.449	0.4712
T0002	C006	76.197	0.1936
T0002	C007	55.334	0.0941
T0002	C011	64.150	0.8496
T0002	C012	65.445	0.6335
T0002	C013	74.781	0.7876
T0002	C022	59.802	0.4916
T0002	C023	65.416	0.2176
T0002	C026	45.086	0.3845
T0002	C028	46.183	0.4571
T0002	C029	67.958	0.5519
T0002	C030	76.959	0.4828
T0002	C034	69.255	0.1877
T0002	C035	71.903	0.6693
