task_id_list	courier_id	total_score	willingness
T0000	C005	81.831	0.1012
T0000	C006	34.591	0.8038
T0000	C019	55.544	0.2250
T0000	C021	60.613	0.7782
T0000	C024	35.901	0.0886
T0000	C029	34.590	0.2452
T0000	C035	46.716	0.1847
T0000	C040	90.209	0.1099
T0000	C043	58.917	0.6041
T0000	C055	55.811	0.4931
T0000	C060	61.575	0.7566
T0000	C062	61.625	0.1078
T0000	C063	79.236	0.4314
T0000	C064	55.530	0.4789
T0000	C068	75.764	0.5891
T0000	C071	34.883	0.5378
T0000	C077	59.915	0.4597
T0000,T0001	C003	45.019	0.3153
T0000,T0001	C012	54.151	0.6622
T0000,T0001	C024	58.606	0.5844
T0000,T0001	C062	47.826	0.4396
T0000,T0001	C065	50.705	0.7785
T0000,T0001	C077	49.260	0.5515
T0000,T0001,T0002	C062	87.807	0.2257
T0000,T0001,T0002	C065	81.909	0.1681
T0000,T0001,T0002	C068	87.738	0.7076
T0000,T0001,T0002	C074	83.841	0.3376
T0001	C000	57.184	0.6346
T0001	C005	71.220	0.3026
T0001	C007	52.385	0.5136
T0001	C017	66.732	0.4660
T0001	C019	53.618	0.6575
T0001	C035	49.150	0.2699
T0001	C036	51.986	0.5506
T0001	C040	65.897	0.3883
T0001	C041	50.401	0.6000
T0001	C043	47.947	0.5195
T0001	C044	47.027	0.6073
T0001	C053	41.450	0.6021
T0001	C054	46.204	0.3913
T0001	C062	50.653	0.7342
T0001	C067	61.030	0.4446
T0001	C068	55.515	0.4522
T0001	C069	77.218	0.5912
T0001	C072	42.434	0.6497
T0001	C073	56.239	0.1342
T0001	C074	57.019	0.6048
T0001,T0002	C022	58.585	0.1206
T0001,T0002	C031	50.307	0.2339
T0001,T0002	C069	54.823	0.5808
T0001,T0002	C072	46.462	0.6859
T0001,T0002	C078	68.392	0.2916
T0002	C008	47.414	0.5648
T0002	C009	51.655	0.1757
T0002	C018	74.720	0.4628
T0002	C020	55.282	0.4384
T0002	C023	60.938	0.7611
T0002	C028	49.929	0.2300
T0002	C038	37.431	0.8072
T0002	C047	52.946	0.1938
T0002	C060	57.855	0.7970
T0002	C072	47.615	0.4998
T0002	C073	51.576	0.5417
T0002	C074	41.159	0.3738
T0002	C075	63.937	0.2600
T0002	C079	47.156	0.6666
T0002,T0003	C005	45.893	0.6725
T0002,T0003	C008	60.208	0.2008
T0002,T0003	C017	55.800	0.5259
T0002,T0003	C038	45.559	0.4015
T0002,T0003	C076	59.313	0.4622
T0002,T0003	C079	55.800	0.1446
T0003	C005	37.339	0.6923
T0003	C010	34.403	0.4899
T0003	C013	78.186	0.7154
T0003	C015	48.028	0.4556
T0003	C016	51.562	0.0817
T0003	C019	78.081	0.3481
T0003	C020	70.643	0.1417
T0003	C028	48.197	0.3921
T0003	C031	69.707	0.1848
T0003	C035	70.943	0.6841
T0003	C036	72.021	0.1571
T0003	C037	74.395	0.5177
T0003	C040	37.060	0.5246
T0003	C044	55.245	0.5048
T0003	C049	46.815	0.1869
T0003	C052	50.085	0.2717
T0003	C053	76.917	0.5291
T0003	C055	49.381	0.6243
T0003	C059	77.713	0.7098
T0003	C061	48.343	0.4752
T0003	C062	59.299	0.7276
T0003	C072	52.749	0.8106
T0003	C075	37.450	0.7582
T0003	C077	60.739	0.5409
T0003	C078	70.107	0.4033
T0003	C079	44.823	0.1435
T0003,T0004	C003	51.004	0.7777
T0003,T0004	C006	63.796	0.8133
T0003,T0004	C024	49.227	0.7000
T0003,T0004	C033	58.479	0.6645
T0003,T0004	C042	68.972	0.7390
T0003,T0004,T0005	C003	84.587	0.7857
T0003,T0004,T0005	C006	80.547	0.1071
T0003,T0004,T0005	C030	88.423	0.7209
T0003,T0004,T0005	C033	86.181	0.7265
T0004	C001	43.245	0.5190
T0004	C002	54.905	0.1406
T0004	C003	58.851	0.0926
T0004	C004	70.457	0.3295
T0004	C007	51.985	0.1150
T0004	C009	52.800	0.1249
T0004	C011	80.472	0.5144
T0004	C014	48.694	0.3600
T0004	C015	68.494	0.1414
T0004	C017	76.557	0.1091
T0004	C019	49.892	0.2226
T0004	C025	60.537	0.3499
T0004	C027	77.049	0.8026
T0004	C029	33.478	0.4816
T0004	C030	35.176	0.1444
T0004	C034	84.754	0.4350
T0004	C035	33.624	0.3801
T0004	C039	70.322	0.2318
T0004	C040	91.994	0.2170
T0004	C041	39.052	0.6323
T0004	C045	74.629	0.5212
T0004	C046	88.843	0.6218
T0004	C051	76.090	0.3462
T0004	C052	84.352	0.4730
T0004	C058	36.247	0.6442
T0004	C060	42.983	0.4567
T0004	C062	77.414	0.7384
T0004	C065	50.640	0.7001
T0004	C066	61.595	0.1018
T0004	C068	63.609	0.4125
T0004	C077	41.449	0.6419
T0004	C079	62.638	0.5868
T0004,T0005	C010	61.713	0.4347
T0004,T0005	C013	62.854	0.7076
T0004,T0005	C031	44.038	0.5418
T0004,T0005	C034	54.142	0.7123
T0004,T0005	C040	45.136	0.1897
T0004,T0005	C043	67.068	0.6748
T0004,T0005	C049	49.107	0.2146
T0005	C007	52.849	0.3676
T0005	C008	43.619	0.6082
T0005	C009	59.790	0.7499
T0005	C012	56.006	0.6355
T0005	C013	54.310	0.7452
T0005	C019	49.138	0.4001
T0005	C021	55.937	0.4258
T0005	C024	58.281	0.5616
T0005	C039	71.007	0.2230
T0005	C043	53.141	0.3373
T0005	C051	76.127	0.2188
T0005	C052	63.601	0.1888
T0005	C055	53.415	0.8139
T0005	C056	58.167	0.6658
T0005	C059	58.260	0.2605
T0005	C060	36.626	0.1357
T0005	C063	60.547	0.3159
T0005	C069	78.736	0.6081
T0005	C070	42.125	0.4187
T0005	C075	69.926	0.8101
T0005	C076	40.326	0.6158
T0005	C078	47.556	0.0864
T0005,T0006	C017	53.268	0.1071
T0005,T0006	C020	51.035	0.3491
T0005,T0006	C032	65.150	0.6116
T0005,T0006	C044	69.295	0.2232
T0005,T0006	C050	54.794	0.1430
T0006	C003	50.083	0.5689
