task_id_list	courier_id	total_score	willingness
T0000	C005	84.325	0.0856
T0000	C012	30.421	0.0675
T0000	C014	55.778	0.0735
T0000	C016	79.701	0.2226
T0000	C020	68.985	0.2305
T0000	C021	69.486	0.1645
T0000	C022	70.411	0.1141
T0000	C023	76.523	0.1983
T0000	C029	38.297	0.2094
T0000	C035	56.020	0.1151
T0000	C037	65.665	0.0522
T0000	C040	87.418	0.2236
T0000	C043	50.946	0.1721
T0000	C045	85.046	0.2330
T0000	C051	63.121	0.1424
T0000	C052	89.275	0.1654
T0000	C056	74.556	0.2032
T0000	C057	66.988	0.1881
T0000,T0001	C021	63.698	0.1759
T0000,T0001	C024	55.244	0.1276
T0000,T0001	C030	63.702	0.0955
T0000,T0001	C051	47.209	0.1019
T0001	C003	58.134	0.0540
T0001	C007	48.288	0.1826
T0001	C012	65.368	0.0785
T0001	C016	59.369	0.2077
T0001	C020	35.185	0.1302
T0001	C021	55.521	0.0667
T0001	C022	67.583	0.1952
T0001	C023	79.379	0.1898
T0001	C026	59.773	0.1811
T0001	C027	66.414	0.0843
T0001	C028	61.838	0.2136
T0001	C029	52.295	0.0500
T0001	C032	58.168	0.0891
T0001	C041	50.553	0.2238
T0001	C044	59.750	0.1108
T0001	C046	61.537	0.2286
T0001	C047	60.341	0.0639
T0001	C052	61.095	0.1560
T0001	C056	56.670	0.2024
T0001,T0002	C028	56.717	0.1500
T0001,T0002	C031	50.577	0.1594
T0001,T0002	C037	62.246	0.1937
T0001,T0002	C055	63.912	0.0789
T0002	C004	47.824	0.1683
T0002	C009	37.896	0.0764
T0002	C010	40.001	0.1557
T0002	C011	48.607	0.0767
T0002	C012	61.331	0.2117
T0002	C015	34.109	0.1261
T0002	C017	49.782	0.2176
T0002	C019	50.694	0.1015
T0002	C021	31.896	0.0776
T0002	C022	58.178	0.0970
T0002	C024	53.777	0.1581
T0002	C025	62.433	0.1906
T0002	C027	49.057	0.1872
T0002	C028	48.428	0.1540
T0002	C031	46.545	0.0485
T0002	C032	50.698	0.0685
T0002	C033	52.579	0.1644
T0002	C034	50.149	0.0647
T0002	C035	57.482	0.0906
T0002	C036	62.670	0.2016
T0002	C038	40.222	0.0971
T0002	C040	47.422	0.1214
T0002	C041	77.631	0.0766
T0002	C049	44.077	0.1441
T0002	C050	46.306	0.1386
T0002	C053	59.050	0.1560
T0002	C057	44.059	0.0659
T0002,T0003	C002	65.813	0.2115
T0002,T0003	C005	69.230	0.1218
T0002,T0003	C035	68.779	0.2274
T0002,T0003	C038	56.905	0.1861
T0002,T0003	C059	45.389	0.2328
T0003	C001	63.216	0.1317
T0003	C005	46.188	0.0478
T0003	C013	67.122	0.1792
T0003	C016	38.634	0.0534
T0003	C018	78.911	0.1207
T0003	C019	66.855	0.1771
T0003	C021	48.558	0.1374
T0003	C022	29.922	0.1013
T0003	C023	48.469	0.0526
T0003	C024	76.744	0.1168
T0003	C034	37.301	0.2335
T0003	C036	61.687	0.1644
T0003	C037	68.381	0.1826
T0003	C038	60.623	0.1134
T0003	C048	77.295	0.2247
T0003	C051	37.037	0.0451
T0003	C055	64.727	0.1909
T0003	C058	88.520	0.1812
T0003,T0004	C000	67.232	0.1944
T0003,T0004	C042	58.557	0.0874
T0003,T0004	C045	56.888	0.1252
T0003,T0004	C051	56.197	0.2382
T0003,T0004	C054	44.613	0.2267
T0004	C000	36.338	0.0641
T0004	C004	65.579	0.0836
T0004	C006	30.186	0.0925
T0004	C009	64.499	0.0981
T0004	C010	79.749	0.1829
T0004	C011	78.041	0.1126
T0004	C012	39.653	0.1513
T0004	C013	39.279	0.1275
T0004	C016	78.783	0.1581
T0004	C017	88.442	0.0959
T0004	C019	59.948	0.1141
T0004	C031	45.255	0.1772
