task_id_list	courier_id	total_score	willingness
T0000	C001	53.217	0.5935
T0000	C002	44.578	0.3209
T0000	C003	51.492	0.2893
T0000	C008	58.768	0.4328
T0000	C010	78.982	0.2197
T0000	C011	76.091	0.2775
T0000	C012	51.529	0.5725
T0000	C013	52.187	0.1378
T0000	C020	50.363	0.5119
T0000	C024	42.978	0.6057
T0000	C027	68.542	0.7037
T0000	C030	49.191	0.3159
T0000	C033	74.590	0.6508
T0000	C038	62.416	0.7264
T0000	C042	56.002	0.4419
T0000	C043	51.772	0.4451
T0000,T0001	C001	54.959	0.2393
T0000,T0001	C004	46.082	0.5742
T0000,T0001	C007	48.504	0.7071
T0000,T0001	C010	51.610	0.6070
T0000,T0001	C013	48.675	0.0974
T0000,T0001	C019	38.245	0.1443
T0000,T0001	C025	52.357	0.5454
T0000,T0001	C028	47.610	0.5226
T0000,T0001	C031	39.816	0.7385
T0000,T0001,T0002	C001	76.092	0.6114
T0000,T0001,T0002	C004	59.693	0.5739
T0000,T0001,T0002	C010	72.723	0.7821
T0000,T0001,T0002	C028	64.204	0.2366
T0001	C001	33.619	0.8104
T0001	C006	60.738	0.1635
T0001	C007	40.188	0.7354
T0001	C008	51.127	0.1997
T0001	C010	58.682	0.1938
T0001	C011	71.112	0.2560
T0001	C016	69.344	0.1097
T0001	C022	55.897	0.5538
T0001	C026	34.122	0.7067
T0001	C028	62.031	0.4866
T0001	C032	55.688	0.6031
T0001	C034	54.115	0.6005
T0001	C037	29.224	0.4398
T0001	C038	42.564	0.0996
T0001	C039	57.497	0.6752
T0001	C040	59.688	0.3254
T0001	C041	48.799	0.0806
T0001	C042	36.717	0.7136
T0001	C043	45.650	0.6456
T0001,T0002	C008	32.484	0.2916
T0001,T0002	C011	50.506	0.6608
T0001,T0002	C017	47.808	0.1096
T0001,T0002	C041	34.701	0.5403
T0002	C000	66.420	0.4870
T0002	C002	51.202	0.6656
T0002	C003	39.721	0.5112
T0002	C004	41.281	0.7488
T0002	C007	60.433	0.6258
T0002	C009	43.619	0.3376
T0002	C011	55.410	0.3754
T0002	C012	52.013	0.3305
T0002	C013	51.321	0.1224
T0002	C021	29.615	0.5197
T0002	C024	63.458	0.6042
T0002	C029	77.708	0.6165
T0002	C030	49.518	0.3560
T0002	C039	33.837	0.4284
T0002	C043	49.496	0.7086
T0002	C045	34.692	0.4229
T0002	C046	50.041	0.6338
T0002,T0003	C015	37.332	0.4539
T0002,T0003	C018	51.586	0.5434
T0002,T0003	C021	50.002	0.4763
T0002,T0003	C024	30.922	0.1262
T0003	C000	93.115	0.7870
T0003	C002	62.809	0.1127
T0003	C004	62.661	0.6855
T0003	C008	70.069	0.7132
T0003	C011	34.461	0.2507
T0003	C015	52.693	0.2628
T0003	C016	59.033	0.3941
T0003	C017	53.813	0.1970
T0003	C018	76.693	0.3020
T0003	C020	52.442	0.0931
T0003	C023	45.204	0.2512
T0003	C028	45.685	0.1029
T0003	C030	72.384	0.1920
T0003	C034	38.880	0.4455
T0003	C036	77.319	0.4900
T0003	C040	50.479	0.4277
T0003	C041	83.561	0.2758
T0003	C042	75.694	0.2470
T0003	C045	58.837	0.2136
