task_id_list	courier_id	total_score	willingness
T0000	C001	56.182	0.5752
T0000	C002	68.490	0.5800
T0000	C003	59.257	0.5810
T0000	C005	82.842	0.3965
T0000	C006	43.996	0.6681
T0000	C007	57.946	0.3704
T0000	C008	63.077	0.7981
T0000	C010	80.267	0.1968
T0000	C012	34.817	0.2024
T0000	C014	54.976	0.7282
T0000,T0001	C005	55.382	0.2524
T0000,T0001	C008	35.382	0.4282
T0000,T0001	C011	36.164	0.5724
T0000,T0001,T0002	C005	67.768	0.7861
T0000,T0001,T0002	C008	58.406	0.6359
T0001	C003	50.857	0.5995
T0001	C005	69.091	0.0857
T0001	C008	49.043	0.7758
T0001	C009	44.446	0.5112
T0001	C010	44.889	0.2813
T0001	C011	75.660	0.6397
T0001	C012	54.329	0.4554
T0001	C016	55.781	0.7685
T0001	C017	63.301	0.5106
T0001,T0002	C012	39.988	0.5782
T0001,T0002	C015	46.472	0.2426
T0002	C000	62.519	0.1283
T0002	C003	41.461	0.4419
T0002	C006	63.512	0.1593
T0002	C009	55.034	0.8100
T0002	C011	58.185	0.2152
T0002	C012	60.331	0.1124
T0002	C015	49.561	0.5819
T0002	C016	63.677	0.5620
T0002	C017	41.083	0.6854
T0002,T0003	C001	47.339	0.5212
T0002,T0003	C004	41.698	0.3022
T0002,T0003	C010	44.850	0.7897
T0003	C000	80.956	0.1700
T0003	C002	75.546	0.3279
T0003	C003	41.831	0.7944
T0003	C004	53.897	0.6826
T0003	C005	54.964	0.2145
T0003	C006	77.059	0.5467
T0003	C007	68.361	0.7341
T0003	C009	42.090	0.3292
T0003	C011	56.461	0.2587
T0003	C012	62.257	0.7484
T0003	C014	60.029	0.4019
T0003	C016	41.399	0.2006
T0003,T0004	C002	40.560	0.5188
T0003,T0004	C005	37.448	0.3096
T0003,T0004	C008	43.057	0.9165
T0003,T0004	C011	52.742	0.6881
T0003,T0004	C017	37.246	0.3383
T0003,T0004,T0005	C008	55.754	0.6394
T0003,T0004,T0005	C011	73.794	0.2034
T0003,T0004,T0005	C014	53.852	0.3685
T0004	C002	51.406	0.6141
T0004	C003	79.224	0.3263
T0004	C007	37.310	0.8162
T0004	C008	52.249	0.4533
T0004	C009	77.567	0.7665
T0004,T0005	C000	32.396	0.8798
T0004,T0005	C006	47.360	0.8111
T0004,T0005	C012	31.208	0.8889
T0004,T0005	C015	37.990	0.7451
T0005	C001	58.007	0.4440
T0005	C004	75.411	0.4446
T0005	C007	47.814	0.7914
T0005	C008	46.370	0.4644
T0005	C010	53.543	0.3339
T0005	C012	48.522	0.3892
T0005	C013	55.068	0.3717
T0005	C014	46.627	0.5694
T0005,T0006	C001	53.797	0.5013
T0005,T0006	C004	51.555	0.8661
T0005,T0006	C007	48.115	0.6706
T0005,T0006	C016	48.166	0.4491
T0006	C000	52.736	0.1918
T0006	C001	71.241	0.2560
T0006	C002	54.552	0.4887
T0006	C003	24.518	0.2417
T0006	C007	65.203	0.6292
T0006	C008	50.874	0.7958
T0006	C010	47.943	0.5672
T0006	C012	49.743	0.7548
T0006	C013	63.012	0.3104
T0006	C015	25.144	0.4916
T0006	C016	62.682	0.7941
T0006	C017	56.293	0.6324
T0006,T0007	C008	40.417	0.8043
