task_id_list	courier_id	total_score	willingness
T0000	C000	51.399	0.4008
T0000	C001	50.670	0.6021
T0000	C002	43.542	0.4166
T0000	C005	76.799	0.1154
T0000	C008	49.335	0.6483
T0000	C009	54.562	0.2196
T0000	C010	74.258	0.7929
T0000	C011	91.003	0.4910
T0000	C014	59.514	0.1718
T0000	C015	61.688	0.6524
T0000	C017	89.829	0.7562
T0000	C018	39.205	0.5520
T0000	C020	58.849	0.7967
T0000,T0001	C000	46.557	0.7427
T0000,T0001	C003	59.155	0.3250
T0000,T0001	C006	52.947	0.1065
T0001	C005	74.854	0.3486
T0001	C006	56.504	0.3340
T0001	C007	42.046	0.5169
T0001	C008	50.884	0.7529
T0001	C014	48.299	0.7174
T0001	C015	58.747	0.6026
T0001	C016	49.668	0.5206
T0001	C017	64.646	0.5397
T0001	C021	41.913	0.1644
T0001	C022	63.232	0.6129
T0001	C023	68.346	0.7729
T0001	C024	56.030	0.5377
T0001,T0002	C007	63.499	0.6272
T0001,T0002	C010	45.626	0.7200
T0001,T0002	C022	44.886	0.5724
T0002	C001	53.353	0.2641
T0002	C002	43.399	0.5547
T0002	C003	33.070	0.7799
T0002	C004	46.613	0.4309
T0002	C005	52.955	0.2237
T0002	C007	50.333	0.2344
T0002	C008	61.459	0.5224
T0002	C010	51.293	0.4328
T0002	C011	56.927	0.5986
T0002	C012	57.528	0.6711
T0002	C013	51.512	0.6059
T0002	C014	61.452	0.3690
T0002	C015	34.782	0.3053
T0002	C019	43.544	0.1392
T0002	C020	50.869	0.5435
T0002	C023	63.545	0.4088
T0002,T0003	C001	58.847	0.3519
T0002,T0003	C014	58.515	0.6511
T0002,T0003	C017	60.852	0.6223
T0002,T0003	C023	64.795	0.1152
T0003	C000	91.073	0.0824
T0003	C004	44.354	0.4105
T0003	C005	33.725	0.7034
T0003	C007	74.235	0.5484
T0003	C008	64.715	0.5124
T0003	C009	49.120	0.7188
T0003	C011	41.238	0.4192
T0003	C014	49.567	0.4067
T0003	C015	44.507	0.8026
T0003	C016	40.212	0.6726
T0003	C017	33.671	0.5371
T0003	C018	67.558	0.1586
T0003	C019	70.833	0.1506
T0003	C022	48.674	0.5123
T0003	C023	58.546	0.6252
T0003	C024	84.210	0.1571
T0003,T0004	C005	69.081	0.1070
T0003,T0004	C011	55.171	0.4086
T0003,T0004	C021	48.911	0.7037
T0003,T0004	C024	62.641	0.6244
T0004	C000	49.860	0.6570
T0004	C001	33.976	0.0905
T0004	C004	74.374	0.1186
T0004	C005	79.866	0.2306
T0004	C006	52.276	0.7108
T0004	C008	56.433	0.7926
T0004	C011	83.259	0.2522
T0004	C013	42.069	0.7312
T0004	C014	52.501	0.3067
T0004	C018	31.907	0.3340
T0004	C020	49.600	0.7574
T0004	C021	76.043	0.7034
T0004	C022	83.301	0.7568
T0004,T0005	C003	61.582	0.5816
T0004,T0005	C006	53.644	0.2203
T0004,T0005	C018	61.817	0.4651
T0005	C000	49.993	0.5732
T0005	C001	42.677	0.2307
T0005	C002	47.522	0.1406
T0005	C003	57.115	0.0918
T0005	C005	73.766	0.7048
T0005	C006	55.159	0.8015
T0005	C007	45.529	0.3947
T0005	C008	36.260	0.2135
T0005	C009	45.338	0.2975
T0005	C012	40.588	0.2769
T0005	C014	49.650	0.1487
T0005	C015	45.838	0.5362
T0005	C016	69.446	0.4635
T0005	C017	59.137	0.7006
T0005	C018	50.673	0.8110
T0005	C020	58.046	0.2711
T0005	C024	46.442	0.3202
T0005,T0006	C010	59.716	0.7382
T0005,T0006	C013	57.446	0.7796
T0005,T0006	C016	53.169	0.7330
T0005,T0006	C019	44.959	0.5708
T0006	C001	51.985	0.1370
T0006	C002	53.587	0.6941
T0006	C004	58.494	0.3279
T0006	C005	58.743	0.2627
T0006	C006	61.998	0.6526
T0006	C007	67.969	0.6261
T0006	C010	53.736	0.7392
T0006	C015	54.175	0.3785
T0006	C016	62.291	0.7776
T0006	C020	52.992	0.5447
T0006	C022	46.846	0.6496
T0006,T0007	C004	46.774	0.6928
T0006,T0007	C017	61.224	0.4089
T0006,T0007	C020	49.127	0.1272
T0007	C003	59.364	0.8112
T0007	C005	55.622	0.2113
T0007	C010	32.469	0.5865
T0007	C011	55.843	0.2149
T0007	C012	65.969	0.4431
T0007	C014	70.846	0.0812
T0007	C015	49.466	0.6113
T0007	C016	34.645	0.4114
T0007	C020	50.127	0.5551
T0007	C021	37.125	0.3768
T0007	C022	43.984	0.7485
T0007,T0008	C002	65.039	0.0815
T0007,T0008	C008	67.258	0.6894
T0007,T0008	C024	65.245	0.6894
T0008	C000	42.810	0.3675
T0008	C001	52.578	0.5811
T0008	C002	57.566	0.6554
T0008	C003	70.475	0.0951
T0008	C004	69.854	0.0950
T0008	C005	85.552	0.2777
T0008	C007	51.892	0.7719
T0008	C009	77.447	0.3392
T0008	C010	72.554	0.8089
T0008	C011	77.771	0.4818
T0008	C015	58.775	0.6983
T0008	C016	75.540	0.2080
T0008	C017	91.288	0.2578
T0008	C019	50.857	0.8063
T0008	C022	65.683	0.3697
T0008	C024	38.344	0.1994
T0008,T0009	C006	61.916	0.7918
T0008,T0009	C009	54.151	0.6765
T0008,T0009	C012	53.140	0.6847
T0009	C005	81.813	0.7408
T0009	C012	54.321	0.7711
T0009	C013	33.619	0.3098
T0009	C014	47.489	0.2526
T0009	C015	46.963	0.4284
T0009	C016	60.617	0.2075
T0009	C019	52.980	0.2904
T0009	C020	49.692	0.6838
T0009	C021	46.241	0.6026
T0009	C022	75.088	0.6369
T0009	C024	48.835	0.5167
T0009,T0010	C000	48.615	0.1850
T0009,T0010	C003	45.629	0.2552
T0009,T0010	C013	69.818	0.2636
T0009,T0010	C016	67.155	0.4408
T0010	C000	67.516	0.4367
T0010	C001	64.771	0.5409
T0010	C002	50.959	0.3306
T0010	C003	38.198	0.6236
T0010	C008	41.720	0.8179
T0010	C009	44.200	0.7229
T0010	C010	41.178	0.4255
T0010	C011	48.242	0.6071
T0010	C013	57.568	0.3060
T0010	C014	41.475	0.5567
T0010	C015	45.856	0.4863
T0010	C017	67.904	0.7524
T0010	C018	66.963	0.5026
T0010	C020	32.274	0.4832
T0010	C022	61.008	0.1525
T0010,T0011	C004	53.909	0.4693
T0010,T0011	C010	54.696	0.2036
T0010,T0011	C020	61.843	0.4616
T0010,T0011	C023	68.857	0.2892
T0011	C000	66.654	0.6428
T0011	C001	72.981	0.7902
T0011	C005	33.657	0.6355
T0011	C006	70.995	0.5326
T0011	C007	73.294	0.7136
T0011	C010	54.314	0.6189
T0011	C011	51.488	0.2658
T0011	C012	62.972	0.3738
T0011	C014	49.628	0.3676
T0011	C015	56.740	0.1995
T0011	C018	62.086	0.5462
T0011	C019	60.135	0.8184
