task_id_list	courier_id	total_score	willingness
T0000	C001	41.948	0.1020
T0000	C002	55.886	0.0985
T0000	C003	66.812	0.5808
T0000	C004	63.776	0.2452
T0000	C005	78.034	0.0996
T0000	C006	47.647	0.4833
T0000	C007	47.832	0.6790
T0000	C008	61.745	0.5966
T0000	C009	53.987	0.7883
T0000,T0001	C002	56.636	0.1312
T0000,T0001	C004	66.683	0.3931
T0000,T0001	C005	63.912	0.1750
T0000,T0001	C007	58.022	0.6201
T0001	C001	60.828	0.3601
T0001	C002	48.735	0.5377
T0001	C004	62.614	0.1139
T0001	C005	60.735	0.1390
T0001	C006	45.825	0.2857
T0001	C007	49.893	0.6773
T0001	C008	38.115	0.1486
T0001	C009	40.618	0.7071
T0001,T0002	C001	49.726	0.1325
T0001,T0002	C002	55.391	0.4630
T0001,T0002	C005	49.842	0.3302
T0001,T0002	C009	52.105	0.8164
T0002	C001	52.678	0.6196
T0002	C002	55.792	0.3500
T0002	C003	38.074	0.7731
T0002	C004	42.355	0.2350
T0002	C005	51.086	0.8122
T0002	C007	63.815	0.7037
T0002	C009	30.503	0.3134
T0002,T0003	C002	47.440	0.7723
T0002,T0003	C006	67.541	0.7161
T0002,T0003	C009	50.188	0.5750
T0003	C000	91.664	0.4196
T0003	C001	66.466	0.4954
T0003	C002	66.415	0.7444
T0003	C003	48.783	0.8182
T0003	C004	37.073	0.1149
T0003	C005	45.386	0.6661
T0003	C006	68.688	0.3624
T0003	C007	66.467	0.5650
T0003	C008	56.794	0.2361
T0003	C009	65.173	0.7285
T0003,T0004	C003	48.951	0.1517
T0003,T0004	C006	55.013	0.4256
T0003,T0004	C008	54.468	0.3311
T0004	C001	39.771	0.5543
T0004	C002	66.503	0.4715
T0004	C003	50.387	0.6133
T0004	C004	82.877	0.7170
T0004	C005	77.969	0.4158
T0004	C008	55.815	0.2122
T0004,T0005	C000	50.465	0.2208
T0004,T0005	C003	54.969	0.2861
T0004,T0005	C005	69.981	0.6987
T0004,T0005	C006	68.005	0.4079
T0005	C000	62.766	0.4725
T0005	C001	42.904	0.0944
T0005	C005	56.648	0.7297
T0005	C007	36.921	0.6443
T0005	C008	53.163	0.3008
T0005	C009	55.874	0.5306
